,Allgemein,Besitz,Gefuehl,Gesellschaft,Koerperfunktion,Kognition,Kommunikation,Konkurrenz,Kontakt,Lokation,Perzeption,Schoepfung,Veraenderung,Verbrauch,natPhaenomen
0,spielen,teilen,sorgen,spielen,weinen,abstehen,lesen,spielen,setzen,abstehen,spielen,bilden,stimmen,heben,spielen
1,stimmen,setzen,gehen,stimmen,machen,stimmen,sagen,streiten,langen,spielen,zeigen,setzen,treten,langen,tagen
2,treten,langen,sein,tagen,kriegen,lesen,stehen,halten,gehen,geistern,sausen,zeigen,machen,essen,scheinen
3,sagen,sein,weinen,treten,haaren,glauben,antworten,holen,kriegen,treten,gehen,entwickeln,landen,kippen,funken
4,machen,federn,meinen,machen,zeigen,machen,zeigen,abstellen,treten,lesen,lesen,produzieren,laufen,,strahlen
5,schauen,halten,freuen,schauen,tun,schauen,streiten,schlagen,kneifen,landen,blicken,verwenden,weiten,,fallen
6,können,geben,liegen,verdammen,sterben,können,meinen,gewinnen,halten,laufen,strahlen,machen,verkleiden,,hellen
7,laufen,stecken,interessieren,erkennen,anstrengen,ausprobieren,stecken,ergeben,stecken,rennen,bemerken,zubereiten,klappen,,ziehen
8,vereinen,haben,sonnen,stehen,kranken,erkennen,nennen,,massieren,stehen,verkleiden,tun,bilden,,brennen
9,grenzen,wegreißen,verwirren,kriegen,verbeißen,stehen,erinnern,,schlagen,klappen,schauen,unterschreiben,zeigen,,
10,stehen,lassen,bewegen,bilden,sonnen,bauen,runtermachen,,rennen,reisen,aussehen,werfen,schreiten,,
11,bilden,laufen,stehen,zeigen,brennen,betrachten,gewinnen,,grenzen,zeigen,hallen,ziehen,steigen,,
12,zeigen,stehen,,gehen,strahlen,schnallen,interessieren,,topfen,schreiten,schlagen,reihen,gehen,,
13,einen,kommen,,tun,holen,bilden,versprechen,,ziehen,gehen,weisen,geben,kippen,,
14,gehen,gewinnen,,nennen,knien,zeigen,entfernen,,schnallen,steigen,rappeln,schlagen,zubereiten,,
15,sein,stellen,,anstrengen,massieren,meinen,entwickeln,,,sein,erkennen,gewinnen,stocken,,
16,sollen,zahlen,,weisen,schlagen,wissen,funken,,,kippen,singen,filmen,sterben,,
17,schweben,kriegen,,sehen,altern,sortieren,holen,,,schweben,sehen,bauen,tun,,
18,gleichen,ergeben,,bewegen,putzen,anstrengen,geben,,,tun,klappen,drehen,sortieren,,
19,tun,,,versprechen,paaren,entschließen,einreden,,,stecken,betrachten,brennen,verbeißen,,
20,stecken,,,drehen,steifen,sinnen,wollen,,,schlendern,,,gewinnen,,
21,wissen,,,ergeben,ziehen,erinnern,bemerken,,,liegen,,,gelben,,
22,liegen,,,fliegen,kneifen,verbeißen,werfen,,,halsen,,,ergeben,,
23,erinnern,,,fahren,fallen,liegen,singen,,,rappeln,,,teilen,,
24,ergeben,,,sorgen,werfen,sehen,,,,bewegen,,,werden,,
25,halten,,,verwenden,schlafen,versprechen,,,,drehen,,,entwickeln,,
26,funken,,,halten,,brennen,,,,fahren,,,entfernen,,
27,triefen,,,geben,,ergeben,,,,setzen,,,braten,,
28,geben,,,holen,,teilen,,,,parken,,,sausen,,
29,aussehen,,,abstellen,,sorgen,,,,fliegen,,,halten,,
30,reihen,,,reihen,,fliegen,,,,sausen,,,abstellen,,
31,sitzen,,,bahnen,,entwickeln,,,,entfernen,,,beginnen,,
32,schlagen,,,schlagen,,setzen,,,,segeln,,,altern,,
33,paaren,,,drillen,,blicken,,,,halten,,,putzen,,
34,ziehen,,,sitzen,,halten,,,,triefen,,,hingehen,,
35,hausen,,,massieren,,geben,,,,holen,,,steifen,,
36,scheinen,,,beginnen,,unterschreiben,,,,abstellen,,,umbringen,,
37,fallen,,,filmen,,abstellen,,,,knien,,,ziehen,,
38,haben,,,hingehen,,sitzen,,,,sitzen,,,verwirren,,
39,schlafen,,,heiraten,,verwirren,,,,schlagen,,,grillen,,
40,lassen,,,wirbeln,,einreden,,,,rumlaufen,,,kneifen,,
41,kommen,,,produzieren,,widersetzen,,,,ziehen,,,hausen,,
42,bleiben,,,schaukeln,,produzieren,,,,wirbeln,,,fallen,,
43,passieren,,,fallen,,denken,,,,federn,,,lassen,,
44,,,,eilen,,wollen,,,,schaukeln,,,kommen,,
45,,,,lassen,,haben,,,,reiten,,,schwefeln,,
46,,,,einweisen,,lassen,,,,gipfeln,,,passieren,,
47,,,,kommen,,bleiben,,,,fallen,,,heben,,
48,,,,stellen,,heben,,,,stiefeln,,,stellen,,
49,,,,,,stellen,,,,werfen,,,,,
50,,,,,,,,,,schnellen,,,,,
51,,,,,,,,,,eilen,,,,,
52,,,,,,,,,,lassen,,,,,
53,,,,,,,,,,einweisen,,,,,
54,,,,,,,,,,kommen,,,,,
55,,,,,,,,,,passieren,,,,,
56,,,,,,,,,,heben,,,,,
57,,,,,,,,,,stellen,,,,,
